VaccinationDate,age_group,first_dose,second_dose
2020-12-20,20-29,392,0
2020-12-20,80-89,93,0
2020-12-20,0-19,21,0
2020-12-20,60-69,1516,0
2020-12-20,50-59,1785,0
2020-12-20,40-49,1867,0
2020-12-20,30-39,1197,0
2020-12-20,90+,<15,0
2020-12-20,70-79,492,0
2020-12-21,20-29,1064,0
2020-12-21,0-19,67,0
2020-12-21,80-89,1164,0
2020-12-21,70-79,4886,0
2020-12-21,90+,167,0
2020-12-21,60-69,7283,0
2020-12-21,40-49,3784,0
2020-12-21,30-39,2779,0
2020-12-21,50-59,3690,0
2020-12-22,90+,456,0
2020-12-22,20-29,1575,0
2020-12-22,80-89,3498,0
2020-12-22,0-19,101,0
2020-12-22,50-59,4663,0
2020-12-22,70-79,11763,0
2020-12-22,40-49,4530,0
2020-12-22,60-69,14430,0
2020-12-22,30-39,3589,0
2020-12-23,80-89,5674,0
2020-12-23,0-19,160,0
2020-12-23,20-29,2123,0
2020-12-23,90+,1027,0
2020-12-23,70-79,18009,0
2020-12-23,30-39,3847,0
2020-12-23,50-59,5334,0
2020-12-23,40-49,5033,0
2020-12-23,60-69,21607,0
2020-12-24,20-29,2069,0
2020-12-24,0-19,202,0
2020-12-24,30-39,3781,0
2020-12-24,70-79,21763,0
2020-12-24,40-49,5193,0
2020-12-24,80-89,7675,0
2020-12-24,60-69,25636,0
2020-12-24,90+,1349,0
2020-12-24,50-59,5658,0
2020-12-25,80-89,4533,0
2020-12-25,90+,764,0
2020-12-25,0-19,126,0
2020-12-25,20-29,753,0
2020-12-25,50-59,2967,0
2020-12-25,60-69,13403,0
2020-12-25,70-79,12283,0
2020-12-25,40-49,2239,0
2020-12-25,30-39,1371,0
2020-12-26,20-29,482,0
2020-12-26,30-39,970,0
2020-12-26,90+,691,0
2020-12-26,40-49,1678,0
2020-12-26,70-79,10606,0
2020-12-26,50-59,2404,0
2020-12-26,60-69,11901,0
2020-12-26,80-89,3749,0
2020-12-26,0-19,92,0
2020-12-27,50-59,10031,0
2020-12-27,30-39,6043,0
2020-12-27,40-49,8431,0
2020-12-27,70-79,28543,0
2020-12-27,60-69,32937,0
2020-12-27,90+,2388,0
2020-12-27,80-89,11875,0
2020-12-27,20-29,3579,0
2020-12-27,0-19,492,0
2020-12-28,70-79,32873,0
2020-12-28,30-39,9509,0
2020-12-28,50-59,14781,0
2020-12-28,40-49,13371,0
2020-12-28,60-69,40005,0
2020-12-28,90+,2611,0
2020-12-28,80-89,13680,0
2020-12-28,20-29,6670,0
2020-12-28,0-19,1263,0
2020-12-29,50-59,18545,0
2020-12-29,60-69,43974,0
2020-12-29,40-49,16185,0
2020-12-29,20-29,7548,0
2020-12-29,0-19,1448,0
2020-12-29,80-89,16458,0
2020-12-29,90+,4365,0
2020-12-29,30-39,11478,0
2020-12-29,70-79,35896,0
2020-12-30,0-19,1451,0
2020-12-30,50-59,21014,0
2020-12-30,40-49,16074,0
2020-12-30,90+,3897,0
2020-12-30,20-29,8210,0
2020-12-30,70-79,32958,0
2020-12-30,60-69,42042,0
2020-12-30,30-39,11584,0
2020-12-30,80-89,15459,0
2020-12-31,20-29,9660,0
2020-12-31,50-59,26920,0
2020-12-31,0-19,1805,0
2020-12-31,90+,3766,0
2020-12-31,30-39,13718,0
2020-12-31,40-49,19267,0
2020-12-31,70-79,29631,0
2020-12-31,60-69,38838,0
2020-12-31,80-89,14530,0
2021-01-01,0-19,821,0
2021-01-01,80-89,6122,0
2021-01-01,20-29,3322,0
2021-01-01,60-69,17552,0
2021-01-01,40-49,9356,0
2021-01-01,90+,1478,0
2021-01-01,50-59,14359,0
2021-01-01,70-79,12480,0
2021-01-01,30-39,5736,0
2021-01-02,0-19,858,0
2021-01-02,80-89,5429,0
2021-01-02,20-29,3342,0
2021-01-02,90+,1629,0
2021-01-02,30-39,5568,0
2021-01-02,60-69,14323,0
2021-01-02,70-79,10361,0
2021-01-02,40-49,11769,0
2021-01-02,50-59,18327,0
2021-01-03,90+,2965,0
2021-01-03,80-89,12985,0
2021-01-03,0-19,2143,0
2021-01-03,20-29,9785,0
2021-01-03,50-59,28656,0
2021-01-03,40-49,19231,0
2021-01-03,30-39,12610,0
2021-01-03,70-79,25684,0
2021-01-03,60-69,35335,0
2021-01-04,80-89,12094,0
2021-01-04,0-19,2267,0
2021-01-04,20-29,11295,0
2021-01-04,30-39,14083,0
2021-01-04,70-79,23438,0
2021-01-04,90+,2664,0
2021-01-04,40-49,22838,0
2021-01-04,60-69,32208,0
2021-01-04,50-59,30943,0
2021-01-05,90+,2288,0
2021-01-05,70-79,20575,0
2021-01-05,40-49,17354,0
2021-01-05,30-39,11032,0
2021-01-05,20-29,8658,0
2021-01-05,80-89,10418,0
2021-01-05,0-19,1829,0
2021-01-05,60-69,28951,0
2021-01-05,50-59,23741,0
2021-01-06,90+,2115,0
2021-01-06,60-69,24556,0
2021-01-06,80-89,8823,0
2021-01-06,40-49,13708,0
2021-01-06,30-39,9070,0
2021-01-06,70-79,16445,0
2021-01-06,50-59,18762,0
2021-01-06,20-29,7909,0
2021-01-06,0-19,1682,0
2021-01-07,60-69,23634,0
2021-01-07,30-39,11911,0
2021-01-07,70-79,15374,0
2021-01-07,40-49,19114,0
2021-01-07,90+,1759,0
2021-01-07,0-19,1956,0
2021-01-07,50-59,25333,0
2021-01-07,20-29,8775,0
2021-01-07,80-89,7966,0
2021-01-08,90+,618,0
2021-01-08,70-79,5793,0
2021-01-08,40-49,16215,0
2021-01-08,30-39,8972,0
2021-01-08,50-59,14572,0
2021-01-08,60-69,9668,0
2021-01-08,0-19,1915,0
2021-01-08,80-89,2796,0
2021-01-08,20-29,5744,0
2021-01-09,50-59,9759,0
2021-01-09,80-89,1551,0
2021-01-09,30-39,6893,0
2021-01-09,70-79,3234,0
2021-01-09,40-49,12806,0
2021-01-09,90+,331,0
2021-01-09,60-69,5417,0
2021-01-09,20-29,3446,0
2021-01-09,0-19,1018,0
2021-01-10,40-49,9154,1575
2021-01-10,70-79,3439,337
2021-01-10,60-69,5580,1207
2021-01-10,30-39,5815,969
2021-01-10,20-29,3254,299
2021-01-10,80-89,1751,44
2021-01-10,0-19,736,15
2021-01-10,50-59,7446,1536
2021-01-10,90+,361,<15
2021-01-11,60-69,2505,5580
2021-01-11,70-79,1678,3650
2021-01-11,50-59,5089,3010
2021-01-11,20-29,1772,819
2021-01-11,90+,203,129
2021-01-11,40-49,5253,2972
2021-01-11,30-39,3337,2158
2021-01-11,0-19,310,51
2021-01-11,80-89,866,868
2021-01-12,50-59,7791,3959
2021-01-12,80-89,862,2718
2021-01-12,20-29,2419,1303
2021-01-12,0-19,351,77
2021-01-12,60-69,3136,11293
2021-01-12,40-49,4481,3950
2021-01-12,90+,181,353
2021-01-12,30-39,2924,3037
2021-01-12,70-79,1760,8940
2021-01-13,0-19,694,137
2021-01-13,20-29,3814,1900
2021-01-13,70-79,3140,16242
2021-01-13,30-39,5153,3616
2021-01-13,40-49,8022,4820
2021-01-13,50-59,23383,5050
2021-01-13,60-69,5990,19132
2021-01-13,90+,240,929
2021-01-13,80-89,1481,4971
2021-01-14,80-89,1088,6905
2021-01-14,30-39,7237,3749
2021-01-14,90+,202,1188
2021-01-14,70-79,2388,20241
2021-01-14,20-29,5525,1945
2021-01-14,0-19,1047,166
2021-01-14,50-59,23364,5450
2021-01-14,60-69,5102,23971
2021-01-14,40-49,10348,5138
2021-01-15,20-29,3188,724
2021-01-15,80-89,546,4171
2021-01-15,50-59,11819,2695
2021-01-15,0-19,694,118
2021-01-15,90+,112,691
2021-01-15,70-79,1179,11488
2021-01-15,60-69,2415,12699
2021-01-15,40-49,5925,1995
2021-01-15,30-39,4736,1295
2021-01-16,20-29,2095,330
2021-01-16,0-19,542,65
2021-01-16,70-79,746,8639
2021-01-16,60-69,1678,9600
2021-01-16,80-89,356,3008
2021-01-16,90+,76,578
2021-01-16,50-59,12240,1784
2021-01-16,40-49,8264,1277
2021-01-16,30-39,3370,696
2021-01-17,20-29,10384,2567
2021-01-17,70-79,2259,24627
2021-01-17,30-39,6814,4559
2021-01-17,90+,190,1783
2021-01-17,0-19,2686,312
2021-01-17,80-89,1054,9661
2021-01-17,60-69,4483,27155
2021-01-17,40-49,18394,6350
2021-01-17,50-59,21990,7393
2021-01-18,20-29,15011,4758
2021-01-18,80-89,878,12571
2021-01-18,90+,146,2542
2021-01-18,40-49,20606,11463
2021-01-18,30-39,7315,8119
2021-01-18,50-59,15882,12806
2021-01-18,60-69,3942,36391
2021-01-18,70-79,1909,30791
2021-01-18,0-19,3836,733
2021-01-19,30-39,9106,9519
2021-01-19,40-49,25309,13598
2021-01-19,70-79,1939,32854
2021-01-19,60-69,3893,39354
2021-01-19,20-29,13983,6686
2021-01-19,0-19,3125,1109
2021-01-19,80-89,857,15067
2021-01-19,90+,202,3848
2021-01-19,50-59,14161,15443
2021-01-20,90+,139,3383
2021-01-20,70-79,1793,32202
2021-01-20,30-39,12657,10701
2021-01-20,50-59,12872,18659
2021-01-20,40-49,29692,14739
2021-01-20,60-69,3635,40097
2021-01-20,0-19,2921,1334
2021-01-20,20-29,12010,7869
2021-01-20,80-89,811,14385
