first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_cases,weekly_deceased
3/29/2020,4/4/2020,45-49,????,1978,113,<15
3/29/2020,4/4/2020,50-54,???,1468,131,0
3/29/2020,4/4/2020,50-54,?? ????,<15,0,0
3/29/2020,4/4/2020,50-54,????,1836,111,<15
3/29/2020,4/4/2020,55-59,???,1385,152,0
3/29/2020,4/4/2020,55-59,?? ????,<15,0,0
3/29/2020,4/4/2020,55-59,????,1678,128,0
3/29/2020,4/4/2020,60-64,???,1360,153,0
3/29/2020,4/4/2020,60-64,?? ????,<15,0,0
3/29/2020,4/4/2020,60-64,????,1383,110,0
3/29/2020,4/4/2020,65-69,???,1094,129,<15
3/29/2020,4/4/2020,65-69,?? ????,<15,0,0
3/29/2020,4/4/2020,65-69,????,899,83,<15
3/29/2020,4/4/2020,70-74,???,767,100,<15
3/29/2020,4/4/2020,70-74,????,604,57,<15
3/29/2020,4/4/2020,75-79,???,408,61,<15
3/29/2020,4/4/2020,75-79,????,370,41,0
3/29/2020,4/4/2020,80+,???,849,83,<15
3/29/2020,4/4/2020,80+,?? ????,<15,0,0
3/29/2020,4/4/2020,80+,????,1091,101,<15
3/29/2020,4/4/2020,NULL,???,616,29,0
3/29/2020,4/4/2020,NULL,?? ????,155,<15,0
3/29/2020,4/4/2020,NULL,????,593,21,0
4/5/2020,4/11/2020,0-19,???,2935,322,<15
4/5/2020,4/11/2020,0-19,?? ????,32,0,0
4/5/2020,4/11/2020,0-19,????,2297,246,0
4/5/2020,4/11/2020,20-24,???,2897,219,0
4/5/2020,4/11/2020,20-24,?? ????,30,<15,0
4/5/2020,4/11/2020,20-24,????,2486,181,0
4/5/2020,4/11/2020,25-29,???,2602,166,0
4/5/2020,4/11/2020,25-29,?? ????,20,0,0
4/5/2020,4/11/2020,25-29,????,2055,103,0
4/5/2020,4/11/2020,30-34,???,2262,109,0
4/5/2020,4/11/2020,30-34,?? ????,<15,0,0
4/5/2020,4/11/2020,30-34,????,1774,81,0
4/5/2020,4/11/2020,35-39,???,1795,85,<15
4/5/2020,4/11/2020,35-39,?? ????,<15,0,0
4/5/2020,4/11/2020,35-39,????,1446,65,0
4/5/2020,4/11/2020,40-44,???,1487,83,0
4/5/2020,4/11/2020,40-44,?? ????,<15,0,0
4/5/2020,4/11/2020,40-44,????,1434,77,0
4/5/2020,4/11/2020,45-49,???,1428,84,0
4/5/2020,4/11/2020,45-49,?? ????,<15,0,0
4/5/2020,4/11/2020,45-49,????,1375,73,0
4/5/2020,4/11/2020,50-54,???,1287,84,0
4/5/2020,4/11/2020,50-54,?? ????,<15,0,0
4/5/2020,4/11/2020,50-54,????,1403,86,<15
4/5/2020,4/11/2020,55-59,???,1182,81,0
4/5/2020,4/11/2020,55-59,?? ????,<15,0,0
4/5/2020,4/11/2020,55-59,????,1230,80,0
4/5/2020,4/11/2020,60-64,???,1066,81,<15
4/5/2020,4/11/2020,60-64,?? ????,<15,0,0
